time,itf_g,itf_t,itf_s,aghulas_box,aghulas_jet,amoc
1998-11-01,-1.5213868940459847,-2.9076538898279285,4.411214005018119,-80.54729,-89.00986,21.218927
1998-12-01,1.2688360421852969,1.5959623162022143,2.216440934796881,-104.39249,-99.19001,21.17973
1999-01-01,6.279780465063307,8.978132202297585,0.0826221242499057,-89.83628,-92.44838,20.36376
1999-02-01,5.63271551877825,8.287561431288555,-1.1266622479839044,-82.84319,-98.66538,16.361025
1999-03-01,6.132976403271483,6.549241721287755,1.0714712448864652,-126.54358,-123.29047,15.052157
1999-04-01,4.182997624947067,1.230471077323632,4.214509607885741,-26.312838,-69.99364,14.154356
1999-05-01,5.239393779457513,4.188765952563287,2.127975498410684,-71.569214,-106.01604,10.98888
1999-06-01,13.974081033420942,13.523417347884116,1.939781558749676,-69.22185,-87.568344,16.838034
1999-07-01,15.428596683860956,14.551305382799509,1.7040837219342388,-70.00449,-80.008896,16.546461
1999-08-01,13.198163499038316,10.597744628312576,2.84048751898054,-64.01902,-75.545235,16.743374
1999-09-01,15.176242919337415,11.251634531689689,4.711568657445438,-68.891396,-80.200096,17.160734
1999-10-01,6.181738878892292,3.5155450150734486,4.1402148741561495,-102.423805,-114.98534,17.039879
1999-11-01,3.029007187556053,1.0919649610507678,2.8660074520722434,-73.33354,-90.62722,18.592361
1999-12-01,5.173867285771798,4.358089226399382,1.1378352571958297,-81.71732,-96.99946,14.631912
2000-01-01,8.898151792488239,10.644524361656458,-2.655410554814898,-90.569336,-96.45127,15.937167
2000-02-01,7.859424482151565,9.692552006270468,-3.450862391753589,-89.78362,-82.31337,18.634535
2000-03-01,8.212127915749154,8.214127303379808,-1.8000749606043909,-81.85901,-94.64025,12.783864
2000-04-01,5.181856295144272,3.865021157645641,1.6475614874409608,-89.739655,-111.80207,14.946272
2000-05-01,8.065911484307268,7.963266616674428,-0.2528182797941939,-79.587364,-87.75295,13.584765
2000-06-01,19.172735445962697,18.514802725992,0.0457594671413184,-70.05935,-86.47417,16.21849
2000-07-01,19.993730138309424,20.546644620073085,-0.9893171621080612,-62.132244,-81.195015,15.728448
2000-08-01,18.72545007921237,17.28965077042041,1.4406449353649846,-75.037346,-92.4318,17.181618
2000-09-01,20.47973135503651,17.852894541797287,2.2631434985524046,-96.54438,-117.74803,15.671263
2000-10-01,11.226380413582389,9.592354014438644,0.7518219488743914,-104.19411,-117.44006,16.49572
2000-11-01,7.9839547641179,5.599645749917876,0.4356721193672989,-36.585155,-76.33853,18.093948
2000-12-01,8.887459554326849,6.773114130000099,-0.5476956845556789,-103.00406,-120.4085,16.956648
2001-01-01,10.756366145470714,10.740874281729276,-3.669547533397844,-121.862854,-91.41602,13.103471
2001-02-01,9.567478919870693,7.532930692553611,-3.050246604275038,-106.71906,-113.469505,20.389896
2001-03-01,9.178021513280816,4.002165209212744,-0.6864937100350877,-130.68132,-116.84224,12.600827
2001-04-01,6.150881551877651,-2.212158592352613,1.6452560351215602,-85.739914,-75.63084,17.458927
2001-05-01,8.934853725626557,0.8015439711586562,-0.5516568988858269,-83.517685,-80.90634,14.502636
2001-06-01,18.94047046840054,11.048573752162016,0.5472675000244182,-105.48291,-111.76652,15.697364
2001-07-01,21.792922475851945,13.504287012436176,0.5854248973222992,-81.88919,-92.681496,20.69067
2001-08-01,19.845720262758736,11.225406851077857,2.2150802864511783,-60.09934,-78.67901,18.359241
2001-09-01,22.32970670372635,13.155587796621573,3.550333092634099,-55.08946,-67.61219,16.842901
2001-10-01,12.64737490796944,6.228646220061499,2.0844375439661342,-73.35981,-86.63355,18.125048
2001-11-01,8.335876354077428,3.682479758418812,2.4938029367013708,-93.41534,-79.734535,16.674488
