time,aghulas_box,aghulas_jet,amoc
2002.5808219178082,-99.74607,-116.439575,19.28453
2002.6657534246576,-61.49646,-80.253174,16.303923
2002.7479452054795,-78.47632,-86.02295,13.650779
2002.8328767123287,-64.54119,-72.40663,19.435
2002.9150684931508,-102.69216,-101.694855,15.416185
2003.0,-85.4622,-83.47748,14.751052
2003.0849315068492,-90.39557,-104.607155,17.41741
2003.1616438356164,-93.00026,-98.4484,14.96942
2003.2465753424658,-88.928604,-78.95512,12.990155
2003.3287671232877,-92.70149,-111.32004,16.08417
2003.4136986301369,-75.87327,-95.55964,18.50147
2003.495890410959,-71.07855,-78.3933,20.780735
2003.5808219178082,-99.19913,-116.95798,19.70104
2003.6657534246576,-79.56634,-89.249916,17.781286
2003.7479452054795,-67.71238,-86.19623,18.155994
2003.8328767123287,-72.019806,-96.68329,19.483093
2003.9150684931508,-82.05628,-98.07959,18.28033
2004.0,-89.819275,-90.88829,16.322138
2004.0846994535518,-116.96625,-134.85733,17.792105
2004.1639344262296,-123.678185,-122.215416,18.38757
2004.2486338797814,-101.71481,-104.980835,17.909985
2004.3306010928961,-119.7208,-90.06454,17.909006
2004.4153005464482,-98.20317,-104.109,13.854469
2004.4972677595629,-86.14777,-103.126274,20.608376
2004.5819672131147,-65.36597,-77.96527,18.780952
2004.6666666666667,-63.91461,-83.34055,20.282433
2004.7486338797814,-77.74903,-90.35062,15.211351
2004.8333333333333,-83.25422,-105.17113,16.085264
2004.9153005464482,-82.430405,-102.46083,21.759232
2005.0,-78.90911,-97.031975,21.527998
2005.0849315068492,-68.155594,-88.248436,14.138733
2005.1616438356164,-37.89208,-59.76593,16.437033
2005.2465753424658,-105.72832,-97.14704,18.992645
2005.3287671232877,-96.10967,-102.08691,18.415602
2005.4136986301369,-79.9911,-94.776955,18.342491
2005.495890410959,-80.73167,-98.6084,20.162497
2005.5808219178082,-55.863876,-87.267456,19.834774
2005.6657534246576,-55.547844,-90.52153,21.413816
2005.7479452054795,-52.298016,-81.789566,19.971687
2005.8328767123287,-104.63811,-117.28634,22.89705
2005.9150684931508,-83.491035,-102.828926,16.885313
2006.0,-91.82944,-107.34353,19.98651
2006.0849315068492,-91.96643,-106.29377,18.089504
2006.1616438356164,-98.3912,-92.84598,14.373469
2006.2465753424658,-79.861015,-100.240234,12.976471
2006.3287671232877,-79.56849,-95.735176,14.053331
2006.4136986301369,-94.24583,-102.10282,18.25697
2006.495890410959,-87.316345,-87.06468,20.165817
2006.5808219178082,-96.31735,-104.86474,17.803045
2006.6657534246576,-83.00129,-104.356606,17.789633
2006.7479452054795,-87.98393,-86.67739,19.708374
2006.8328767123287,-112.090546,-110.85931,19.021362
2006.9150684931508,-79.254486,-103.69053,20.27315
2007.0,-77.74058,-99.96772,20.199959
2007.0849315068492,-99.03354,-104.743195,15.235575
2007.1616438356164,-91.99395,-105.64774,18.666815
2007.2465753424658,-88.55881,-86.5327,13.596029
2007.3287671232877,-86.24524,-83.52677,18.757017
2007.4136986301369,-92.85853,-92.81425,15.432915
2007.495890410959,-93.45636,-95.78079,19.983654
2007.5808219178082,-88.832794,-84.037094,18.37735
2007.6657534246576,-102.394554,-80.935135,17.436352
2007.7479452054795,-91.786835,-80.52504,18.650951
2007.8328767123287,-90.04338,-77.03861,17.871952
2007.9150684931508,-102.51908,-82.27161,19.31568
2008.0,-115.47248,-91.87645,19.421356
2008.0846994535518,-63.99666,-81.34998,18.28371
2008.1639344262296,-92.14434,-99.166115,17.306997
2008.2486338797814,-103.63292,-105.43098,16.721083
2008.3306010928961,-71.51276,-85.681885,13.820692
2008.4153005464482,-62.95582,-80.93636,17.633358
2008.4972677595629,-50.48594,-44.325283,18.492102
2008.5819672131147,-83.49244,-118.2646,18.14957
2008.6666666666667,-101.89909,-77.148186,16.573183
2008.7486338797814,-88.4889,-87.233765,18.619837
2008.8333333333333,-92.75375,-96.0901,18.208206
2008.9153005464482,-106.83747,-120.174225,20.196287
