time,aghulas_box,aghulas_jet
2012-01-01,-87.144165,-90.74768
2012-02-01,-70.40416,-89.83776
2012-03-01,-72.19707,-90.79398
2012-04-01,-79.61212,-95.42138
2012-05-01,-74.967445,-84.92404
2012-06-01,-72.15924,-89.99581
2012-07-01,-58.462337,-76.12752
2012-08-01,-66.20701,-80.36427
2012-09-01,-57.71314,-79.14905
2012-10-01,-63.218224,-86.224075
2012-11-01,-75.04962,-93.10688
2012-12-01,-97.12885,-91.94124
2013-01-01,-102.784615,-117.22481
2013-02-01,-79.53695,-85.14005
2013-03-01,-98.846375,-83.61419
2013-04-01,-97.504135,-112.71207
2013-05-01,-107.81338,-127.09651
2013-06-01,-101.35975,-93.703766
2013-07-01,-98.64115,-86.171104
2013-08-01,-90.12913,-100.83683
2013-09-01,-60.959488,-85.24544
2013-10-01,-95.756355,-78.639534
2013-11-01,-86.32651,-95.73008
2013-12-01,-123.017685,-125.66225
2014-01-01,-107.19369,-106.88721
2014-02-01,-110.33492,-114.349785
2014-03-01,-109.00451,-130.56538
2014-04-01,-106.56391,-86.650665
2014-05-01,-107.38228,-104.55456
2014-06-01,-77.714554,-57.88051
2014-07-01,-89.46075,-70.39022
2014-08-01,-57.26062,-63.606384
2014-09-01,-95.34153,-98.68354
2014-10-01,-110.09233,-86.912506
2014-11-01,-89.6271,-98.94853
2014-12-01,-70.5901,-65.99531
